fecha,PM25LE
01dec2009,12.204166
02dec2009,5.1541667
03dec2009,8.0708342
04dec2009,7.4125009
05dec2009,8.2666655
06dec2009,10.879167
07dec2009,11.1625
08dec2009,6.8333335
09dec2009,5.5875001
10dec2009,7.4315782
11dec2009,9.9187527
12dec2009,6.6624999
13dec2009,5.4666667
14dec2009,4.1291666
15dec2009,7.9874997
16dec2009,8.791666
17dec2009,7.479167
18dec2009,6.375
19dec2009,8.6083336
20dec2009,8.3291664
21dec2009,9.5291672
22dec2009,7.5999994
23dec2009,12.270835
24dec2009,7.7375002
25dec2009,8.9916658
26dec2009,9.1333332
27dec2009,9.3166656
28dec2009,6.4833336
29dec2009,5.0541668
30dec2009,7.770833
31dec2009,6.0916667
01jan2010,8.5041676
02jan2010,6.4750004
03jan2010,5.8999996
04jan2010,5.145833
05jan2010,6.0291667
06jan2010,5.6208329
07jan2010,6
08jan2010,8.437501
09jan2010,7.5999994
10jan2010,7.3375006
11jan2010,6.0250001
12jan2010,6.0666671
13jan2010,10.641666
14jan2010,6.1083336
15jan2010,9.3291664
16jan2010,8.8208342
17jan2010,7.9666662
18jan2010,5.2458334
19jan2010,5.9666672
20jan2010,10.8
21jan2010,8.2791672
22jan2010,5.6916661
23jan2010,8.3083334
24jan2010,9.9708347
25jan2010,11.750001
26jan2010,8.2624998
27jan2010,6.4791665
28jan2010,8.083334
29jan2010,8.520834
30jan2010,5.7958336
31jan2010,6.2333331
01-feb-10,4.7583332
02-feb-10,5.0458331
03-feb-10,7.8958335
04-feb-10,10.100001
05-feb-10,5.7041664
06-feb-10,7.5541663
07-feb-10,6.6916666
08-feb-10,10.537501
09-feb-10,8.1999998
10-feb-10,12.3375
11-feb-10,9.791666
12-feb-10,6.791667
13-feb-10,7.0125003
14-feb-10,5.5333333
15-feb-10,5.1791663
16-feb-10,11.7625
17-feb-10,9.2749996
18-feb-10,6.9333334
19-feb-10,8.6208334
20-feb-10,6.208333
21-feb-10,6.8208327
22-feb-10,8.395834
23-feb-10,7.8625007
24-feb-10,11.250001
25-feb-10,19.991667
26-feb-10,10.037499
27-feb-10,14.269528
28-feb-10,18.316668
01-mar-10,10.46
02-mar-10,14.162499
03-mar-10,12.166666
